date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:14:20	102277/102277	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Aug%202026%2008:54:40%20GMT	https://www.miyagami.com/industries/saas	/data/data/com.termux/files/home/storage/downloads/miyagami-clone/www.miyagami.com/industries/saas.html	(from https://www.miyagami.com/)
10:14:21	9413/9413	---M--	200	added ('OK')	image/avif	etag:%22167292b2e19e09c5a60aadcc2bcf2306%22	https://cdn.prod.website-files.com/69983296cbb59f410af8512a/69a17dc237042e4378fe2ebe_diverse-team-collaboration-meeting-laptop-square-image.avif	/data/data/com.termux/files/home/storage/downloads/miyagami-clone/cdn.prod.website-files.com/69983296cbb59f410af8512a/69a17dc237042e4378fe2ebe_diverse-team-collaboration-meeting-laptop-square-image.avif	(from https://www.miyagami.com/)
10:14:21	214209/214209	---M--	200	added ('OK')	image/jpeg	etag:%222c6a3488297b31d9000245a23833e82f%22	https://cdn.prod.website-files.com/69983296cbb59f410af8512f/699c5370595aa95dccc27dd1_abstract-distorted-landscape-texture-blue-green.jpg	/data/data/com.termux/files/home/storage/downloads/miyagami-clone/cdn.prod.website-files.com/69983296cbb59f410af8512f/699c5370595aa95dccc27dd1_abstract-distorted-landscape-texture-blue-green.jpg	(from https://www.miyagami.com/)
10:14:21	45421/45421	---M--	200	added ('OK')	image/jpg	etag:%225e1ebc8d2290162e7898aeea97f28d74%22	https://cdn.prod.website-files.com/69983296cbb59f410af8512f/699c5370595aa95dccc27dd1_abstract-distorted-landscape-texture-blue-green-p-500.jpg	/data/data/com.termux/files/home/storage/downloads/miyagami-clone/cdn.prod.website-files.com/69983296cbb59f410af8512f/699c5370595aa95dccc27dd1_abstract-distorted-landscape-texture-blue-green-p-500.jpg	(from https://www.miyagami.com/)
10:14:22	108551/108551	---M--	200	added ('OK')	image/jpg	etag:%22c0328a91e6321c80d2e889bd81c2a899%22	https://cdn.prod.website-files.com/69983296cbb59f410af8512f/699c5370595aa95dccc27dd1_abstract-distorted-landscape-texture-blue-green-p-800.jpg	/data/data/com.termux/files/home/storage/downloads/miyagami-clone/cdn.prod.website-files.com/69983296cbb59f410af8512f/699c5370595aa95dccc27dd1_abstract-distorted-landscape-texture-blue-green-p-800.jpg	(from https://www.miyagami.com/)
10:14:22	103842/103842	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Aug%202026%2008:54:41%20GMT	https://www.miyagami.com/insights	/data/data/com.termux/files/home/storage/downloads/miyagami-clone/www.miyagami.com/insights.html	(from https://www.miyagami.com/)
10:14:23	131849/131849	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Aug%202026%2008:54:41%20GMT	https://www.miyagami.com/about	/data/data/com.termux/files/home/storage/downloads/miyagami-clone/www.miyagami.com/about.html	(from https://www.miyagami.com/)
10:14:23	388257/388257	---M--	200	added ('OK')	image/jpeg	etag:%222b8c51a3b1d27b6f337934da48e7c8b3%22	https://cdn.prod.website-files.com/69983296cbb59f410af8512f/69983296cbb59f410af85219_miyagami-abstract-metallic-digital-data-sky.jpg.jpg	/data/data/com.termux/files/home/storage/downloads/miyagami-clone/cdn.prod.website-files.com/69983296cbb59f410af8512f/69983296cbb59f410af85219_miyagami-abstract-metallic-digital-data-sky.jpg.jpg	(from https://www.miyagami.com/)
10:14:23	26527/26527	---M--	200	added ('OK')	image/jpg	etag:%22e6d11b0e726c631b6e35e26c7917e84e%22	https://cdn.prod.website-files.com/69983296cbb59f410af8512f/69983296cbb59f410af85219_miyagami-abstract-metallic-digital-data-sky.jpg-p-500.jpg	/data/data/com.termux/files/home/storage/downloads/miyagami-clone/cdn.prod.website-files.com/69983296cbb59f410af8512f/69983296cbb59f410af85219_miyagami-abstract-metallic-digital-data-sky.jpg-p-500.jpg	(from https://www.miyagami.com/)
10:14:23	64548/64548	---M--	200	added ('OK')	image/jpg	etag:%228f645a3f2b044ffdc969e34e33a3a236%22	https://cdn.prod.website-files.com/69983296cbb59f410af8512f/69983296cbb59f410af85219_miyagami-abstract-metallic-digital-data-sky.jpg-p-800.jpg	/data/data/com.termux/files/home/storage/downloads/miyagami-clone/cdn.prod.website-files.com/69983296cbb59f410af8512f/69983296cbb59f410af85219_miyagami-abstract-metallic-digital-data-sky.jpg-p-800.jpg	(from https://www.miyagami.com/)
